Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Gao X., Thomas T.A., Morello-Frosch R., Allen A.M., Snowden J.M., Carmichael S.L., Mujahid M.S.","57209835999;57223298741;6602511010;57204036386;55170527500;7103352672;12446049600;","Neighborhood gentrification, displacement, and severe maternal morbidity in California",2023,"Social Science and Medicine","334",,"116196","","",,,"10.1016/j.socscimed.2023.116196","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170551843&doi=10.1016%2fj.socscimed.2023.116196&partnerID=40&md5=f33b9decf701f3896f052ebbd3296c2a","Division of Epidemiology, School of Public Health, University of California Berkeley, Berkeley, CA, United States; Urban Displacement Project, Institute of Governmental Studies, University of California Berkeley, Berkeley, CA, United States; Department of Environmental Science, Policy and Management, University of California Berkeley, Berkeley, CA, United States; Division of Environmental Health Sciences, School of Public Health, University of California Berkeley, Berkeley, CA, United States; Division of Community Health Sciences, School of Public Health, University of California Berkeley, Berkeley, CA, United States; School of Public Health, Oregon Health & Science University-Portland State UniversityOR, United States; Department of Pediatrics, Division of Neonatal & Developmental Medicine, Stanford University, Stanford, CA, United States; Department of Obstetrics & Gynecology, Division of Maternal-Fetal Medicine, Stanford University, Stanford, CA, United States","Gao, X., Division of Epidemiology, School of Public Health, University of California Berkeley, Berkeley, CA, United States; Thomas, T.A., Urban Displacement Project, Institute of Governmental Studies, University of California Berkeley, Berkeley, CA, United States; Morello-Frosch, R., Department of Environmental Science, Policy and Management, University of California Berkeley, Berkeley, CA, United States, Division of Environmental Health Sciences, School of Public Health, University of California Berkeley, Berkeley, CA, United States, Division of Community Health Sciences, School of Public Health, University of California Berkeley, Berkeley, CA, United States; Allen, A.M., Division of Epidemiology, School of Public Health, University of California Berkeley, Berkeley, CA, United States, Division of Community Health Sciences, School of Public Health, University of California Berkeley, Berkeley, CA, United States; Snowden, J.M., School of Public Health, Oregon Health & Science University-Portland State UniversityOR, United States; Carmichael, S.L., Department of Pediatrics, Division of Neonatal & Developmental Medicine, Stanford University, Stanford, CA, United States, Department of Obstetrics & Gynecology, Division of Maternal-Fetal Medicine, Stanford University, Stanford, CA, United States; Mujahid, M.S., Division of Epidemiology, School of Public Health, University of California Berkeley, Berkeley, CA, United States","Mujahid, M.S.2121 Berkeley Way West, United States; email: mmujahid@berkeley.edu",,"Elsevier Ltd",02779536,,SSMDE,"37678111","English","Soc. Sci. Med.",Article,"Final","",Scopus,2-s2.0-85170551843
"Yarrington J.S., Montgomery C., Joyner K.J., O'Connor M.-F., Wolitzky-Taylor K.","57200599395;58363945200;57192007827;55423861800;16246879500;","Evaluating training needs in clinical psychology doctoral programs",2023,"Journal of Clinical Psychology","79","10",,"2304","2316",,,"10.1002/jclp.23549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163102745&doi=10.1002%2fjclp.23549&partnerID=40&md5=e101f45a09f8d3714cc4cee57860502e","Department of Psychology, University of California, Los Angeles, Los Angeles, CA, United States; Department of Psychology, Syracuse University, Syracuse, NY, United States; Department of Psychology, University of California, Berkeley, Berkeley, CA, United States; Department of Psychology, University of Arizona, Tucson, AZ, United States; Department of Psychiatry and Biobehavioral Sciences, University of California, Los Angeles, Los Angeles, CA, United States","Yarrington, J.S., Department of Psychology, University of California, Los Angeles, Los Angeles, CA, United States; Montgomery, C., Department of Psychology, Syracuse University, Syracuse, NY, United States; Joyner, K.J., Department of Psychology, University of California, Berkeley, Berkeley, CA, United States; O'Connor, M.-F., Department of Psychology, University of Arizona, Tucson, AZ, United States; Wolitzky-Taylor, K., Department of Psychiatry and Biobehavioral Sciences, University of California, Los Angeles, Los Angeles, CA, United States","Wolitzky-Taylor, K.; Department of Psychiatry and Biobehavioral Sciences, 10911 Weyburn Ave. Suite 200, United States; email: KBTaylor@mednet.ucla.edu",,"John Wiley and Sons Inc",00219762,,JCPYA,"37310160","English","J. Clin. Psychol.",Article,"Final","",Scopus,2-s2.0-85163102745
"Primus K.","57266024700;","Spinoza's Monism II: A Proposal",2023,"Archiv fur Geschichte der Philosophie","105","3",,"444","469",,1,"10.1515/agph-2021-0057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115358236&doi=10.1515%2fagph-2021-0057&partnerID=40&md5=b7d2033d9abf47bd8f047d00323a23ca","University of California Berkeley, Department of Philosophy, Berkeley, CA  94720, United States","Primus, K., University of California Berkeley, Department of Philosophy, Berkeley, CA  94720, United States","Primus, K.; University of California Berkeley, United States; email: kprimus@berkeley.edu",,"Walter de Gruyter GmbH",00039101,,,,"English","Arch. Gesch. Philos.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85115358236
"Ryan P.J.","57368423100;","SZEMERÉDI'S THEOREM: AN EXPLORATION OF IMPURITY, EXPLANATION, AND CONTENT",2023,"Review of Symbolic Logic","16","3",,"700","739",,,"10.1017/S1755020321000538","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120854642&doi=10.1017%2fS1755020321000538&partnerID=40&md5=fa96a62ef4c53d24c0aef98981343f49","DEPARTMENT OF PHILOSOPHY, UNIVERSITY OF CALIFORNIA, Berkeley, CA, United States","Ryan, P.J., DEPARTMENT OF PHILOSOPHY, UNIVERSITY OF CALIFORNIA, Berkeley, CA, United States","Ryan, P.J.; DEPARTMENT OF PHILOSOPHY, United States; email: patrick.j.ryan@berkeley.edu",,"Cambridge University Press",17550203,,,,"English","Rev. Symb. Log.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85120854642
"Schell O.","6506438727;","Foreword",2023,"Buddhism in Contemporary Tibet: Religious Revival and Cultural Identity",,,,"ix","x",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171959256&partnerID=40&md5=293357fcfe3d07c1c2230c8136e62072","Graduate School of Journalism, University of California, Berkeley, United States","Schell, O., Graduate School of Journalism, University of California, Berkeley, United States","Schell, O.; Graduate School of Journalism, United States",,"University of California Press",,9780520920057; 9780520211315,,,"English","Buddhism in Contemp. Tibet.: Relig. Revival and Cult. Identity",Editorial,"Final","",Scopus,2-s2.0-85171959256
"Subotnik R.F., Olszewski-Kubilius P., Worrell F.C.","6602170847;6603253989;6701390843;","The role of insider knowledge in the trajectories of highly accomplished scientists",2023,"Annals of the New York Academy of Sciences","1527","1",,"84","96",,,"10.1111/nyas.15034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171900326&doi=10.1111%2fnyas.15034&partnerID=40&md5=38921571e15385213eafb9ffb79395ea","Center for Psychology in Schools and Education, American Psychological Association, Washington, District of Columbia, USA; Center for Talent Development, Northwestern University, Evanston, IL, United States; Graduate School of Education, University of California, Berkeley, CA, United States","Subotnik, R.F., Center for Psychology in Schools and Education, American Psychological Association, Washington, District of Columbia, USA; Olszewski-Kubilius, P., Center for Talent Development, Northwestern University, Evanston, IL, United States; Worrell, F.C., Graduate School of Education, University of California, Berkeley, CA, United States",,,"NLM (Medline)",17496632,,,"37468232","English","Ann N Y Acad Sci",Article,"Final","",Scopus,2-s2.0-85171900326
"Weiman S., Cable J., Greenleaf W., Rundel F., Whitfield K.E., Wingate L., Gallagher R., Pesanelli J., Orr D., Jarvis T.C., Cadar R., Uva M., Ruediger D., Vaez R., Frisby A., Ahmed S., Donoviel D., Klinman J., Johnson D.","57219049420;57209332432;6603992302;58612772000;58612891400;58612832700;57212720178;58613127300;58613127400;57202672457;58613009600;58613068700;58613127500;58613009700;58613068800;58612772100;57194939449;57219105703;58613127600;","Reimagining scientific conferences-a Keystone Symposia report",2023,"Annals of the New York Academy of Sciences","1527","1",,"49","59",,,"10.1111/nyas.15037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171899999&doi=10.1111%2fnyas.15037&partnerID=40&md5=c6fcddaabf841d6a57f66601311972ee","Keystone Symposia on Molecular and Cellular Biology, Silverthorne, CO, United States; PhD Science WriterNY, United States; Stanford University Virtual Human Interaction Lab, Stanford University, Stanford, CA, United States; Berlin, Germany; Okinawa prefecture, Japan; National Academies of Sciences, Engineering, Medicine, National Academy of SciencesWA, United States; Annual Reviews, San Mateo, CA, United States; Biophysical Society, Rockville, MD, United States; Communications Technology Laboratory, National Institute of Standards and Technology, Boulder, CO, United States; Protein SocietyCA, United States; American Association for the Study of Liver Diseases, Alexandria, Virginia, USA; Ithaka S+RNY, United States; Toronto, ON, Canada; Sine Wave Entertainment, London, United Kingdom; Zoom Video Communications, San Jose, California, USA; Translational Research Institute for Space Health, Houston, TX, United States; Center for Space Medicine, Baylor College of Medicine, Houston, TX, United States; University of California, Department of Chemistry, Berkeley, CA, United States; California Institute for Quantitative Biosciences, Berkeley, CA, United States; Department of Molecular and Cell Biology, University of California, Berkeley, CA, United States","Weiman, S., Keystone Symposia on Molecular and Cellular Biology, Silverthorne, CO, United States; Cable, J., PhD Science WriterNY, United States; Greenleaf, W., Stanford University Virtual Human Interaction Lab, Stanford University, Stanford, CA, United States; Rundel, F., Berlin, Germany; Whitfield, K.E., Okinawa prefecture, Japan; Wingate, L., National Academies of Sciences, Engineering, Medicine, National Academy of SciencesWA, United States; Gallagher, R., Annual Reviews, San Mateo, CA, United States; Pesanelli, J., Biophysical Society, Rockville, MD, United States; Orr, D., Communications Technology Laboratory, National Institute of Standards and Technology, Boulder, CO, United States; Jarvis, T.C., Keystone Symposia on Molecular and Cellular Biology, Silverthorne, CO, United States; Cadar, R., Protein SocietyCA, United States; Uva, M., American Association for the Study of Liver Diseases, Alexandria, Virginia, USA; Ruediger, D., Ithaka S+RNY, United States; Vaez, R., Toronto, ON, Canada; Frisby, A., Sine Wave Entertainment, London, United Kingdom; Ahmed, S., Zoom Video Communications, San Jose, California, USA; Donoviel, D., Translational Research Institute for Space Health, Houston, TX, United States, Center for Space Medicine, Baylor College of Medicine, Houston, TX, United States; Klinman, J., University of California, Department of Chemistry, Berkeley, CA, United States, California Institute for Quantitative Biosciences, Berkeley, CA, United States, Department of Molecular and Cell Biology, University of California, Berkeley, CA, United States; Johnson, D., Keystone Symposia on Molecular and Cellular Biology, Silverthorne, CO, United States",,,"NLM (Medline)",17496632,,,"37534923","English","Ann N Y Acad Sci",Article,"Final","",Scopus,2-s2.0-85171899999
"Sandberg M.B.","58610724000;","Effigy and narrative: Looking into the nineteenth-century folk museum",2023,"Cinema and the Invention of Modern Life",,,,"320","361",,15,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171812568&partnerID=40&md5=0057fe54031feb7d877b76851912f2c7","University of California, Berkeley, United States","Sandberg, M.B., University of California, Berkeley, United States","Sandberg, M.B.; University of CaliforniaUnited States",,"University of California Press",,9780520916425; 9780520201118,,,"English","Cinema and the Invention of Mod. Life",Book Chapter,"Final","",Scopus,2-s2.0-85171812568
"Mason M.A.","7201987327;","Neither friends nor foes: Organized labor and the California progressives",2023,"California Progressivism Revisited",,,,"57","71",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171809186&partnerID=40&md5=11cbc32011c0642c8aad05f762b06c66","School of Social Welfare, University of California, Berkeley, United States","Mason, M.A., School of Social Welfare, University of California, Berkeley, United States","Mason, M.A.; School of Social Welfare, United States",,"University of California Press",,9780520914575; 9780520084698,,,"English","Calif. Progressivism Revisited",Book Chapter,"Final","",Scopus,2-s2.0-85171809186
"Gruen E.S.","55854448700;","Hellenism and persecution: Antiochus IV and the jews",2023,"Hellenistic History and Culture",,,,"238","274",,25,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171698430&partnerID=40&md5=89bbc750bcdca6b3928cb59bf8019f44","University of California, Berkeley, United States","Gruen, E.S., University of California, Berkeley, United States","Gruen, E.S.; University of CaliforniaUnited States",,"University of California Press",,9780520917095; 9780520203259,,,"English","Hell. Hist. and Cult.",Book Chapter,"Final","",Scopus,2-s2.0-85171698430
"Frame L.","58608326000;","Gretchen, girl, garçonne? Weimar science and popular culture in search of the ideal new woman",2023,"Women in the Metropolis: Gender and Modernity in Weimar Culture",,,,"12","40",,23,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171698091&partnerID=40&md5=eaf69d81f608d7e17e419603c0afa81e","University of California, Berkeley, United States","Frame, L., University of California, Berkeley, United States","Frame, L.; University of CaliforniaUnited States",,"University of California Press",,9780520917606; 9780520204652,,,"English","Women in the Metropolis: Gend. and Mod. in Weimar Cult.",Book Chapter,"Final","",Scopus,2-s2.0-85171698091
"Long A.A.","58608333700;","Hellenistic ethics and philosophical power",2023,"Hellenistic History and Culture",,,,"138","167",,10,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171697595&partnerID=40&md5=dbf50608cb4f17667811145dfd5a5092","University of California, Berkeley, United States","Long, A.A., University of California, Berkeley, United States","Long, A.A.; University of CaliforniaUnited States",,"University of California Press",,9780520917095; 9780520203259,,,"English","Hell. Hist. and Cult.",Book Chapter,"Final","",Scopus,2-s2.0-85171697595
"Claudio L.E.","35766156700;","The Tensions of the New Marcos Presidency",2023,"Current History","122","845",,"224","229",,,"10.1525/curh.2023.122.845.224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171653428&doi=10.1525%2fcurh.2023.122.845.224&partnerID=40&md5=87efe73d91c84154ca9644d8533997db","University of California, Berkeley, United States","Claudio, L.E., University of California, Berkeley, United States","Claudio, L.E.; University of CaliforniaUnited States",,"University of California Press",00113530,,,,"English","Curr. Hist.",Article,"Final","",Scopus,2-s2.0-85171653428
"Gallagher C., Laqueur T.","16490984500;6508011894;","Introduction",2023,"The Making of the Modern Body: Sexuality and Society in the Nineteenth Century",,,,"III","XV",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171519081&partnerID=40&md5=16098e5b52c95cec4b46a08901e3de02","University of California, Berkeley, United States","Gallagher, C., University of California, Berkeley, United States; Laqueur, T., University of California, Berkeley, United States","Gallagher, C.; University of CaliforniaUnited States",,"University of California Press",,9780520908284; 9780520059610,,,"English","The Mak. of the Mod. Body: Sex. and Soc. in the Ninet. Century",Book Chapter,"Final","",Scopus,2-s2.0-85171519081
"Gallagher C., Laqueur T.","16490984500;6508011894;","The making of the modern body: Sexuality and society in the nineteenth century",2023,"The Making of the Modern Body: Sexuality and Society in the Nineteenth Century",,,,"1","242",,82,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171511609&partnerID=40&md5=130239ddb38ed6c6011ac89622770afc","University of California, Berkeley, United States","Gallagher, C., University of California, Berkeley, United States; Laqueur, T., University of California, Berkeley, United States","Gallagher, C.; University of CaliforniaUnited States",,"University of California Press",,9780520908284; 9780520059610,,,"English","The Mak. of the Mod. Body: Sex. and Soc. in the Ninet. Century",Book,"Final","",Scopus,2-s2.0-85171511609
"Gallagher C.","16490984500;","The body versus the social body in the works of thomas malthus and henry mayhew",2023,"The Making of the Modern Body: Sexuality and Society in the Nineteenth Century",,,,"83","106",,32,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171510452&partnerID=40&md5=1cdc1406d5d707906e319551e019f0a5","University of California, Berkeley, United States","Gallagher, C., University of California, Berkeley, United States","Gallagher, C.; University of CaliforniaUnited States",,"University of California Press",,9780520908284; 9780520059610,,,"English","The Mak. of the Mod. Body: Sex. and Soc. in the Ninet. Century",Book Chapter,"Final","",Scopus,2-s2.0-85171510452
"Bonnell V.E.","57154619500;","The Russian worker: Life and labor under the tsarist regime",2023,"The Russian Worker: Life and Labor Under the Tsarist Regime",,,,"1","216",,18,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171497026&partnerID=40&md5=a87e2f0c224c1ab516f9d7dcc2800594","University of California, Berkeley, United States","Bonnell, V.E., University of California, Berkeley, United States","Bonnell, V.E.; University of CaliforniaUnited States",,"University of California Press",,9780520342415; 9780520050594,,,"English","The Russ. Worker: Life and Labor Under the Tsarist Regime",Book,"Final","",Scopus,2-s2.0-85171497026
"Berry M.E.","7402662263;","The culture of civil war in Kyoto",2023,"The Culture of Civil War in Kyoto",,,,"1","373",,56,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171488696&partnerID=40&md5=5d9c8ceb9937f85358420812458e68ef","University of California, Berkeley, United States","Berry, M.E., University of California, Berkeley, United States","Berry, M.E.; University of CaliforniaUnited States",,"University of California Press",,9780520919037; 9780520208773,,,"English","The Cult. of Civil War in Kyoto",Book,"Final","",Scopus,2-s2.0-85171488696
"Laqueur T.","6508011894;","Orgasm, generation, and the politics of reproductive biology",2023,"The Making of the Modern Body: Sexuality and Society in the Nineteenth Century",,,,"1","41",,70,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171487146&partnerID=40&md5=c9c18af486d5cf8af9c5408796a2665a","University of California, Berkeley, United States","Laqueur, T., University of California, Berkeley, United States","Laqueur, T.; University of CaliforniaUnited States",,"University of California Press",,9780520908284; 9780520059610,,,"English","The Mak. of the Mod. Body: Sex. and Soc. in the Ninet. Century",Book Chapter,"Final","",Scopus,2-s2.0-85171487146
"Marcus C.C., Sarkissian W.","7103039665;8339840500;","Housing as if people mattered: Site design guidelines for the planning of medium-density family housing",2023,"Housing As If People Mattered: Site Design Guidelines for the Planning of Medium-Density Family Housing",,,,"1","336",,6,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171346981&partnerID=40&md5=ddbf9a84fc84847d555b671857992fd1","Departments of Architecture and Landscape Architecture, University of California, Berkeley, United States","Marcus, C.C., Departments of Architecture and Landscape Architecture, University of California, Berkeley, United States; Sarkissian, W.","Marcus, C.C.; Departments of Architecture and Landscape Architecture, United States",,"University of California Press",,9780520908796; 9780520063303,,,"English","Housing As If People Mattered: Site Design Guidelines for the Plan. of Medium-Density Family Housing",Book,"Final","",Scopus,2-s2.0-85171346981
